0,12
1,12
2,1
3,8
4,7
5,14
6,24
7,0
8,9
9,5
10,12
11,22
12,17
13,5
14,9
15,8
16,5
17,22
18,7
19,0
20,23
21,9
22,22
23,18
24,7
25,22
26,22
27,0
28,15
29,8
30,25
31,12
32,15
33,15
34,21
35,8
36,8
37,24
38,7
39,7
40,22
41,19
42,9
43,8
44,17
45,22
46,23
47,18
48,7
49,14
50,19
51,4
52,8
53,24
54,23
55,12
56,18
57,8
58,22
59,24
60,18
61,12
62,12
63,8
64,18
65,7
66,24
67,12
68,5
69,22
70,17
71,7
72,8
73,5
74,7
75,24
76,6
77,9
78,15
79,11
80,20
81,5
82,18
83,12
84,9
85,0
86,23
87,22
88,9
89,0
90,1
91,22
92,22
93,8
94,22
95,18
96,8
97,7
98,24
99,9
100,12
101,15
102,15
103,24
104,18
105,24
106,18
107,13
108,24
109,12
110,4
111,1
112,22
113,0
114,2
115,15
116,12
117,7
118,8
119,23
120,1
121,25
122,8
123,7
124,0
125,17
126,1
127,24
128,8
129,22
130,22
131,0
132,22
133,18
134,20
135,22
136,17
137,12
138,12
139,18
140,12
141,12
142,24
143,10
144,24
145,24
146,24
147,4
148,22
149,0
150,1
151,1
152,7
153,18
154,12
155,22
156,1
157,18
158,24
159,12
160,15
161,7
162,22
163,7
164,7
165,16
166,23
167,8
168,12
169,18
170,1
171,22
172,7
173,24
174,22
175,6
176,10
177,12
178,23
179,24
180,22
181,24
182,8
183,25
184,23
185,1
186,24
187,7
188,24
189,22
190,8
191,22
192,1
193,2
194,22
195,8
196,22
197,1
198,2
199,17
200,12
201,1
202,12
203,1
204,8
205,12
206,23
207,17
208,22
209,24
210,1
211,7
212,12
213,1
214,13
215,12
216,6
217,16
218,8
219,24
220,7
221,8
222,15
223,5
224,8
225,15
226,18
227,15
228,6
229,17
230,7
231,24
232,25
233,22
234,9
235,18
236,8
237,22
238,25
239,1
240,7
241,15
242,8
243,7
244,0
245,9
246,12
247,9
248,8
249,8
250,17
251,22
252,22
253,9
254,12
255,23
256,9
257,22
258,16
259,8
260,23
261,16
262,7
263,21
264,5
265,8
266,15
267,22
268,1
269,9
270,15
271,1
272,22
273,8
274,7
275,17
276,12
277,17
278,9
279,7
280,23
281,8
282,23
283,12
284,18
285,12
286,22
287,17
288,24
289,12
290,8
291,24
292,12
293,7
294,18
295,22
296,12
297,25
298,8
299,7
300,1
301,17
302,17
303,23
304,7
305,13
306,22
307,7
308,14
309,17
310,2
311,9
312,23
313,22
314,15
315,18
316,8
317,8
318,22
319,24
320,22
321,8
322,13
323,5
324,23
325,24
326,12
327,16
328,9
329,1
330,20
331,8
332,21
333,22
334,9
335,22
336,23
337,8
338,24
339,12
340,22
341,18
342,12
343,7
344,18
345,17
346,24
347,10
348,3
349,2
350,24
351,24
352,7
353,7
354,24
355,25
356,22
357,23
358,23
359,24
360,5
361,15
362,6
363,24
364,17
365,10
366,7
367,7
368,24
369,8
370,1
371,23
372,18
373,7
374,24
375,7
376,8
377,12
378,0
379,24
380,17
381,22
382,0
383,22
384,1
385,24
386,21
387,9
388,17
389,8
390,8
391,7
392,22
393,9
394,22
395,15
396,22
397,9
398,24
399,7
400,8
401,9
402,17
403,12
404,22
405,0
406,17
407,7
408,9
409,18
410,23
411,16
412,5
413,22
414,22
415,17
416,22
417,24
418,8
419,8
420,8
421,12
422,1
423,23
424,12
425,8
426,6
427,25
428,15
429,19
430,12
431,24
432,18
433,8
434,7
435,7
436,1
437,17
438,23
439,22
440,12
441,7
442,0
443,12
444,24
445,15
446,7
447,15
448,18
449,0
450,24
451,22
452,15
453,15
454,17
455,23
456,23
457,22
458,8
459,7
460,7
461,12
462,8
463,24
464,25
465,7
466,22
467,22
468,15
469,24
470,13
471,0
472,18
473,9
474,18
475,2
476,12
477,0
478,24
479,0
480,12
481,12
482,7
483,17
484,24
485,8
486,5
487,17
488,12
489,22
490,18
491,24
492,22
493,1
494,16
495,16
496,12
497,12
498,22
499,8
500,15
501,9
502,24
503,8
504,12
505,17
506,18
507,9
508,25
509,8
510,22
511,24
512,1
513,24
514,7
515,24
516,24
517,17
518,18
